RNTI,nRxPDUs,delay,min,max,PduSize,nTxPDUs,RxBytes,stdDev.1,amplitude
1,24.838843,0.000654,0.000633,0.000794,1047.330579,24.793388,26221.14876,0,0.000092
2,24.785124,0.000669,0.000651,0.000778,1047.330579,24.793388,26164.42149,0,0.00004
3,24.85124,0.000689,0.000665,0.00083,1047.330579,24.793388,26234.23967,0,0.000114
4,24.785124,0.000703,0.000682,0.000809,1047.330579,24.793388,26164.42149,0,0.000041
5,26.38843,0.000779,0.000634,0.001297,1047.330579,24.793388,27857.5124,0,0.000269
6,49.561983,0.000691,0.000651,0.00074,524.68595,49.570248,26213.97521,137248.3884,0.000038
7,24.785124,0.000748,0.000687,0.000757,1047.330579,24.793388,26164.42149,0,0.000023
8,24.785124,0.000765,0.000705,0.000775,1047.330579,24.793388,26164.42149,0,0.000023
9,25.53719,0.000831,0.000723,0.001269,1047.330579,24.793388,26958.60331,0,0.000247
10,24.785124,0.000801,0.000741,0.000811,1047.330579,24.793388,26164.42149,0,0.000023
