DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.0445357	4	4	2	1	1	2	1	0	58	0	0	14.0177	0	0
UL	0.0455357	4	5	2	1	1	2	1	0	58	0	0	14.0177 	0	0
UL	0.0457857	4	5	3	1	1	2	1	0	58	0	0	14.0177 	0	0
UL	0.0460357	4	6	0	1	1	2	1	0	58	0	0	14.0177 	0	0
DL	0.0462857	4	6	1	1	1	2	1	0	1258	20	0	14.0177	0	4.21323e-09
DL	0.252482	25	2	1	1	12	2	1	0	730	0	0	34.9786	0	0
DL	0.252732	25	2	2	1	12	2	1	0	730	0	0	35.0218	0	0
DL	0.252982	25	2	3	1	12	2	1	0	730	0	0	34.9596	0	0
DL	0.253232	25	3	0	1	12	2	1	0	25224	28	0	34.9463	0	0
DL	0.253482	25	3	1	1	12	2	1	0	25224	28	0	34.9407	0	0
DL	0.253714	25	3	2	1	11	2	1	0	23120	28	0	34.9315	0	0
UL	0.253732	25	3	2	12	1	2	1	0	58	0	0	34.9309 	0	0
DL	0.253929	25	3	3	1	9	2	1	0	18918	28	0	34.9635	0	0
UL	0.253946	25	3	3	10	1	2	1	0	58	0	0	34.9169 	0	0
DL	0.254143	25	4	0	1	7	2	1	0	14713	28	0	34.8711	0	0
UL	0.254161	25	4	0	8	1	2	1	0	58	0	0	34.8838 	0	0
DL	0.254393	25	4	1	1	7	2	1	0	14713	28	0	34.9017	0	0
DL	0.254643	25	4	2	1	7	2	1	0	14713	28	0	35.0071	0	0
DL	0.254893	25	4	3	1	7	2	1	0	14713	28	0	34.9881	0	0
DL	0.255143	25	5	0	1	7	2	1	0	14713	28	0	34.9339	0	0
DL	0.255393	25	5	1	1	7	2	1	0	14713	28	0	34.9739	0	0
DL	0.255643	25	5	2	1	7	2	1	0	14713	28	0	34.9929	0	0
DL	0.255893	25	5	3	1	7	2	1	0	14713	28	0	35.0242	0	0
DL	0.256143	25	6	0	1	7	2	1	0	14713	28	0	34.9338	0	0
DL	0.256393	25	6	1	1	7	2	1	0	14713	28	0	34.9455	0	0
