,% start,end,CellId,IMSI,RNTI,LCID,nTxPDUs,TxBytes,nRxPDUs,RxBytes,delay,stdDev,min,max,PduSize,stdDev.1,min.1,max.1,priority
0,0.0,0.25,1,1,1,0,1,12,1,12,0.000635713,0,0.000635713,0.000635713,12,0,12,12,high
1,0.0,0.25,1,1,1,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,high
2,0.0,0.25,1,1,1,3,21,22176,21,22176,0.000647618,3.75988e-05,0.000635713,0.000760712,1056,0,1056,1056,high
3,0.0,0.25,1,2,2,0,1,12,1,12,0.00065357,0,0.00065357,0.00065357,12,0,12,12,low
4,0.0,0.25,1,2,2,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,low
5,0.0,0.25,1,2,2,3,21,22176,21,22176,0.000665475,3.75988e-05,0.00065357,0.000778569,1056,0,1056,1056,low
6,0.0,0.25,1,3,3,0,1,12,1,12,0.000671427,0,0.000671427,0.000671427,12,0,12,12,low
7,0.0,0.25,1,3,3,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,low
8,0.0,0.25,1,3,3,3,21,22176,21,22176,0.000683332,3.75988e-05,0.000671427,0.000796426,1056,0,1056,1056,low
9,0.0,0.25,1,4,4,0,1,12,1,12,0.000689284,0,0.000689284,0.000689284,12,0,12,12,low
10,0.0,0.25,1,4,4,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,low
11,0.0,0.25,1,4,4,3,21,22176,21,22176,0.000701189,3.75988e-05,0.000689284,0.000814283,1056,0,1056,1056,low
12,0.0,0.25,1,5,5,0,1,12,1,12,0.000707141,0,0.000707141,0.000707141,12,0,12,12,medium
13,0.0,0.25,1,5,5,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,medium
14,0.0,0.25,1,5,5,3,21,22176,21,22176,0.000732651,0.000151162,0.000635713,0.00138571,1056,0,1056,1056,medium
15,0.0,0.25,1,6,6,0,1,12,1,12,0.000724998,0,0.000724998,0.000724998,12,0,12,12,low
16,0.0,0.25,1,6,6,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,low
17,0.0,0.25,1,6,6,3,42,22218,42,22218,0.000694811,4.43564e-05,0.00065357,0.000742855,529,138661,392,666,low
18,0.0,0.25,1,7,7,0,1,12,1,12,0.000742855,0,0.000742855,0.000742855,12,0,12,12,medium
19,0.0,0.25,1,7,7,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,medium
20,0.0,0.25,1,7,7,3,21,22176,21,22176,0.000753909,2.1485e-05,0.000689284,0.000760712,1056,0,1056,1056,medium
21,0.0,0.25,1,8,8,0,1,12,1,12,0.000760712,0,0.000760712,0.000760712,12,0,12,12,medium
22,0.0,0.25,1,8,8,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,medium
23,0.0,0.25,1,8,8,3,21,22176,21,22176,0.000771766,2.1485e-05,0.000707141,0.000778569,1056,0,1056,1056,medium
24,0.0,0.25,1,9,9,0,1,12,1,12,0.000778569,0,0.000778569,0.000778569,12,0,12,12,high
25,0.0,0.25,1,9,9,1,3,37,1,2,0.0,0,0.0,0.0,2,0,2,2,high
26,0.0,0.25,1,9,9,3,21,22176,21,22176,0.000789623,2.1485e-05,0.000724998,0.000796426,1056,0,1056,1056,high
