% start;end;CellId;IMSI;RNTI;LCID;nTxPDUs;TxBytes;nRxPDUs;RxBytes;delay;stdDev;min;max;PduSize;stdDev;min;max
0;0.25;1;1;1;0;1;12;1;12;0.000635713;0;0.000635713;0.000635713;12;0;12;12
0;0.25;1;1;1;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;1;1;3;21;22176;21;22176;0.000742855;0;0.000742855;0.000742855;1056;0;1056;1056
0;0.25;1;2;2;0;1;12;1;12;0.00065357;0;0.00065357;0.00065357;12;0;12;12
0;0.25;1;2;2;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;2;2;3;21;22176;21;22176;0.000760712;0;0.000760712;0.000760712;1056;0;1056;1056
0;0.25;1;3;3;0;1;12;1;12;0.000671427;0;0.000671427;0.000671427;12;0;12;12
0;0.25;1;3;3;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;3;3;3;21;22176;21;22176;0.000778569;0;0.000778569;0.000778569;1056;0;1056;1056
0;0.25;1;4;4;0;1;12;1;12;0.000689284;0;0.000689284;0.000689284;12;0;12;12
0;0.25;1;4;4;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;4;4;3;21;22176;21;22176;0.000796426;0;0.000796426;0.000796426;1056;0;1056;1056
0;0.25;1;5;5;0;1;12;1;12;0.000707141;0;0.000707141;0.000707141;12;0;12;12
0;0.25;1;5;5;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;5;5;3;21;22176;21;22176;0.000635713;0;0.000635713;0.000635713;1056;0;1056;1056
0;0.25;1;6;6;0;1;12;1;12;0.000724998;0;0.000724998;0.000724998;12;0;12;12
0;0.25;1;6;6;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;6;6;3;21;22176;21;22176;0.00065357;0;0.00065357;0.00065357;1056;0;1056;1056
0;0.25;1;7;7;0;1;12;1;12;0.000742855;0;0.000742855;0.000742855;12;0;12;12
0;0.25;1;7;7;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;7;7;3;21;22176;21;22176;0.000671427;0;0.000671427;0.000671427;1056;0;1056;1056
0;0.25;1;8;8;0;1;12;1;12;0.000760712;0;0.000760712;0.000760712;12;0;12;12
0;0.25;1;8;8;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;8;8;3;21;22176;21;22176;0.000689284;0;0.000689284;0.000689284;1056;0;1056;1056
0;0.25;1;9;9;0;1;12;1;12;0.000778569;0;0.000778569;0.000778569;12;0;12;12
0;0.25;1;9;9;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;9;9;3;21;22176;21;22176;0.000707141;0;0.000707141;0.000707141;1056;0;1056;1056
0;0.25;1;10;10;0;1;12;1;12;0.000796426;0;0.000796426;0.000796426;12;0;12;12
0;0.25;1;10;10;1;3;37;1;2;0;0;0;0;2;0;2;2
0;0.25;1;10;10;3;21;22176;21;22176;0.000724998;0;0.000724998;0.000724998;1056;0;1056;1056
0.25;0.5;1;1;1;3;25;26400;25;26400;0.000742855;0;0.000742855;0.000742855;1056;0;1056;1056
0.25;0.5;1;2;2;3;25;26400;25;26400;0.000760712;0;0.000760712;0.000760712;1056;0;1056;1056
0.25;0.5;1;3;3;3;25;26400;25;26400;0.000778569;0;0.000778569;0.000778569;1056;0;1056;1056
0.25;0.5;1;4;4;3;25;26400;25;26400;0.000796426;0;0.000796426;0.000796426;1056;0;1056;1056
0.25;0.5;1;5;5;3;25;26400;25;26400;0.000635713;0;0.000635713;0.000635713;1056;0;1056;1056
0.25;0.5;1;6;6;3;25;26400;25;26400;0.00065357;0;0.00065357;0.00065357;1056;0;1056;1056
0.25;0.5;1;7;7;3;25;26400;25;26400;0.000671427;0;0.000671427;0.000671427;1056;0;1056;1056
0.25;0.5;1;8;8;3;25;26400;25;26400;0.000689284;0;0.000689284;0.000689284;1056;0;1056;1056
0.25;0.5;1;9;9;3;25;26400;25;26400;0.000707141;0;0.000707141;0.000707141;1056;0;1056;1056
0.25;0.5;1;10;10;3;25;26400;25;26400;0.000724998;0;0.000724998;0.000724998;1056;0;1056;1056
0.5;0.75;1;1;1;3;25;26400;25;26400;0.000742855;0;0.000742855;0.000742855;1056;0;1056;1056
0.5;0.75;1;2;2;3;25;26400;25;26400;0.000760712;0;0.000760712;0.000760712;1056;0;1056;1056
0.5;0.75;1;3;3;3;25;26400;25;26400;0.000778569;0;0.000778569;0.000778569;1056;0;1056;1056
0.5;0.75;1;4;4;3;25;26400;25;26400;0.000796426;0;0.000796426;0.000796426;1056;0;1056;1056
0.5;0.75;1;5;5;3;25;26400;25;26400;0.000635713;0;0.000635713;0.000635713;1056;0;1056;1056
0.5;0.75;1;6;6;3;25;26400;25;26400;0.00065357;0;0.00065357;0.00065357;1056;0;1056;1056
0.5;0.75;1;7;7;3;25;26400;25;26400;0.000671427;0;0.000671427;0.000671427;1056;0;1056;1056
0.5;0.75;1;8;8;3;25;26400;25;26400;0.000689284;0;0.000689284;0.000689284;1056;0;1056;1056
0.5;0.75;1;9;9;3;25;26400;25;26400;0.000707141;0;0.000707141;0.000707141;1056;0;1056;1056
0.5;0.75;1;10;10;3;25;26400;25;26400;0.000724998;0;0.000724998;0.000724998;1056;0;1056;1056
0.75;1;1;1;1;3;25;26400;25;26400;0.000742855;0;0.000742855;0.000742855;1056;0;1056;1056
