DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00403571	0	4	0	1	1	1	1	0	88	0	0	23.9322	0	0
DL	0.00405357	0	4	0	2	1	1	2	0	88	0	0	35.1923	0	0
DL	0.00407143	0	4	0	3	1	1	3	0	88	0	0	38.3351	0	0
UL	0.00503571	0	5	0	1	1	1	1	0	88	0	0	24.105 	0	0
UL	0.00505357	0	5	0	2	1	1	2	0	88	0	0	35.1239 	0	0
UL	0.00507143	0	5	0	3	1	1	3	0	88	0	0	38.2218 	0	0
DL	0.00578571	0	5	3	1	1	1	1	0	1946	26	0	24.0951	0	0
DL	0.00580357	0	5	3	2	1	1	2	0	2126	28	0	35.2864	0	0
DL	0.00582143	0	5	3	3	1	1	3	0	2126	28	0	38.402	0	0
DL	0.0340357	3	4	0	1	1	1	1	0	88	0	0	24.5486	0	0
DL	0.0340536	3	4	0	2	1	1	2	0	88	0	0	35.4866	0	0
DL	0.0340714	3	4	0	3	1	1	3	0	88	0	0	38.5061	0	0
UL	0.0350357	3	5	0	1	1	1	1	0	88	0	0	24.3988 	0	0
UL	0.0350536	3	5	0	2	1	1	2	0	88	0	0	35.3169 	0	0
UL	0.0350714	3	5	0	3	1	1	3	0	88	0	0	38.7583 	0	0
DL	0.0357857	3	5	3	1	1	1	1	0	2126	28	0	24.3819	0	0.00598801
DL	0.0358036	3	5	3	2	1	1	2	0	2126	28	0	35.3516	0	0
DL	0.0358214	3	5	3	3	1	1	3	0	2126	28	0	38.7271	0	0
UL	0.0407857	4	0	3	1	1	1	1	0	2126	28	0	24.0593 	0	0.00598801
UL	0.0408036	4	0	3	2	1	1	2	0	2126	28	0	35.3106 	0	0
DL	0.0427857	4	2	3	1	1	1	1	0	2126	28	0	23.8994	0	0.0184849
DL	0.0428036	4	2	3	2	1	1	2	0	2126	28	0	35.2051	0	0
DL	0.0428214	4	2	3	3	1	1	3	0	2126	28	0	39.3026	0	0
UL	0.0507857	5	0	3	1	1	1	1	0	2126	28	0	23.9668 	0	0.0184849
UL	0.0508036	5	0	3	2	1	1	2	0	2126	28	0	35.0508 	0	0
DL	0.0527857	5	2	3	1	1	1	1	0	1946	26	0	24.1203	0	0
DL	0.0528036	5	2	3	2	1	1	2	0	2126	28	0	34.9759	0	0
DL	0.0528214	5	2	3	3	1	1	3	0	2126	28	0	39.1938	0	0
UL	0.0607857	6	0	3	1	1	1	1	0	2038	27	0	24.0399 	0	0
UL	0.0608036	6	0	3	2	1	1	2	0	2126	28	0	34.9253 	0	0
DL	0.0627857	6	2	3	1	1	1	1	0	2126	28	0	24.3373	0	0.00598801
DL	0.0628036	6	2	3	2	1	1	2	0	2126	28	0	34.6745	0	0
DL	0.0628214	6	2	3	3	1	1	3	0	2126	28	0	38.8328	0	0
UL	0.0707857	7	0	3	1	1	1	1	0	2126	28	0	23.6713 	0	0.0184849
UL	0.0708036	7	0	3	2	1	1	2	0	2126	28	0	34.9673 	0	0
DL	0.0727857	7	2	3	1	1	1	1	0	2126	28	0	23.3119	0	0.0754203
DL	0.0728036	7	2	3	2	1	1	2	0	2126	28	0	35.3622	0	0
DL	0.0728214	7	2	3	3	1	1	3	0	2126	28	0	38.5641	0	0
UL	0.0807857	8	0	3	1	1	1	1	0	2038	27	0	23.0331 	0	0
UL	0.0808036	8	0	3	2	1	1	2	0	2126	28	0	35.6869 	0	0
DL	0.0827857	8	2	3	1	1	1	1	0	1946	26	0	23.0472	0	0
DL	0.0828036	8	2	3	2	1	1	2	0	2126	28	0	35.6219	0	0
DL	0.0828214	8	2	3	3	1	1	3	0	2126	28	0	38.6929	0	0
UL	0.0907857	9	0	3	1	1	1	1	0	2038	27	0	23.2195 	0	0
UL	0.0908036	9	0	3	2	1	1	2	0	2126	28	0	35.4294 	0	0
DL	0.0927857	9	2	3	1	1	1	1	0	1946	26	0	23.2003	0	0
DL	0.0928036	9	2	3	2	1	1	2	0	2126	28	0	35.4814	0	0
DL	0.0928214	9	2	3	3	1	1	3	0	2126	28	0	38.9795	0	0
UL	0.100786	10	0	3	1	1	1	1	0	2038	27	0	23.3841 	0	0
UL	0.100804	10	0	3	2	1	1	2	0	2126	28	0	35.1737 	0	0
DL	0.102786	10	2	3	1	1	1	1	0	1946	26	0	23.4569	0	0
DL	0.102804	10	2	3	2	1	1	2	0	2126	28	0	35.3375	0	0
DL	0.102821	10	2	3	3	1	1	3	0	2126	28	0	39.1288	0	0
UL	0.110786	11	0	3	1	1	1	1	0	2038	27	0	23.8493 	0	0
UL	0.110804	11	0	3	2	1	1	2	0	2126	28	0	34.988 	0	0
DL	0.112786	11	2	3	1	1	1	1	0	1946	26	0	24.0444	0	0
DL	0.112804	11	2	3	2	1	1	2	0	2126	28	0	34.8849	0	0
DL	0.112821	11	2	3	3	1	1	3	0	2126	28	0	38.8599	0	0
UL	0.120786	12	0	3	1	1	1	1	0	2038	27	0	23.7234 	0	0
UL	0.120804	12	0	3	2	1	1	2	0	2126	28	0	35.1248 	0	0
DL	0.122786	12	2	3	1	1	1	1	0	2126	28	0	23.6027	0	0.0184849
DL	0.122804	12	2	3	2	1	1	2	0	2126	28	0	34.9407	0	0
DL	0.122821	12	2	3	3	1	1	3	0	2126	28	0	38.4777	0	0
UL	0.130786	13	0	3	1	1	1	1	0	2038	27	0	23.1699 	0	0
UL	0.130804	13	0	3	2	1	1	2	0	2126	28	0	34.1901 	0	0
DL	0.132786	13	2	3	1	1	1	1	0	1946	26	0	22.7481	0	0
DL	0.132804	13	2	3	2	1	1	2	0	2126	28	0	33.9896	0	0
DL	0.132821	13	2	3	3	1	1	3	0	2126	28	0	38.3532	0	0
UL	0.140786	14	0	3	1	1	1	1	0	2038	27	0	22.8451 	0	0
UL	0.140804	14	0	3	2	1	1	2	0	2126	28	0	34.1724 	0	0
DL	0.142786	14	2	3	1	1	1	1	0	1946	26	0	22.534	0	0
DL	0.142804	14	2	3	2	1	1	2	0	2126	28	0	33.9106	0	0
DL	0.142821	14	2	3	3	1	1	3	0	2126	28	0	37.9799	0	0
UL	0.150786	15	0	3	1	1	1	1	0	2038	27	0	22.2842 	0	0
UL	0.150804	15	0	3	2	1	1	2	0	2126	28	0	33.9949 	0	0
DL	0.152786	15	2	3	1	1	1	1	0	1946	26	0	22.2546	0	0
DL	0.152804	15	2	3	2	1	1	2	0	2126	28	0	34.0138	0	0
