Time	UE Id	DistanceX	DistanceY
0.1	0	-248	-150
0.1	1	-148	-150
0.1	2	-48	-150
0.2	0	-246	-150
0.2	1	-146	-150
0.2	2	-46	-150
0.3	0	-244	-150
0.3	1	-144	-150
0.3	2	-44	-150
0.4	0	-242	-150
0.4	1	-142	-150
0.4	2	-42	-150
0.5	0	-240	-150
0.5	1	-140	-150
0.5	2	-40	-150
0.6	0	-238	-150
0.6	1	-138	-150
0.6	2	-38	-150
0.7	0	-236	-150
0.7	1	-136	-150
0.7	2	-36	-150
0.8	0	-234	-150
0.8	1	-134	-150
0.8	2	-34	-150
0.9	0	-232	-150
0.9	1	-132	-150
0.9	2	-32	-150
1	0	-230	-150
1	1	-130	-150
1	2	-30	-150
1.1	0	-228	-150
1.1	1	-128	-150
1.1	2	-28	-150
1.2	0	-226	-150
1.2	1	-126	-150
1.2	2	-26	-150
1.3	0	-224	-150
1.3	1	-124	-150
1.3	2	-24	-150
1.4	0	-222	-150
1.4	1	-122	-150
1.4	2	-22	-150
1.5	0	-220	-150
1.5	1	-120	-150
1.5	2	-20	-150
1.6	0	-218	-150
1.6	1	-118	-150
1.6	2	-18	-150
1.7	0	-216	-150
1.7	1	-116	-150
1.7	2	-16	-150
1.8	0	-214	-150
1.8	1	-114	-150
1.8	2	-14	-150
1.9	0	-212	-150
1.9	1	-112	-150
1.9	2	-12	-150
2	0	-210	-150
2	1	-110	-150
2	2	-10	-150
2.1	0	-208	-150
2.1	1	-108	-150
2.1	2	-8	-150
2.2	0	-206	-150
2.2	1	-106	-150
2.2	2	-6	-150
2.3	0	-204	-150
2.3	1	-104	-150
2.3	2	-4	-150
2.4	0	-202	-150
2.4	1	-102	-150
2.4	2	-2	-150
2.5	0	-200	-150
2.5	1	-100	-150
2.5	2	-2.77396e-11	-150
2.6	0	-198	-150
2.6	1	-98	-150
2.6	2	2	-150
2.7	0	-196	-150
2.7	1	-96	-150
2.7	2	4	-150
2.8	0	-194	-150
2.8	1	-94	-150
2.8	2	6	-150
2.9	0	-192	-150
2.9	1	-92	-150
2.9	2	8	-150
3	0	-190	-150
3	1	-90	-150
3	2	10	-150
3.1	0	-188	-150
3.1	1	-88	-150
3.1	2	12	-150
3.2	0	-186	-150
3.2	1	-86	-150
3.2	2	14	-150
3.3	0	-184	-150
3.3	1	-84	-150
3.3	2	16	-150
3.4	0	-182	-150
3.4	1	-82	-150
3.4	2	18	-150
3.5	0	-180	-150
3.5	1	-80	-150
3.5	2	20	-150
3.6	0	-178	-150
3.6	1	-78	-150
3.6	2	22	-150
3.7	0	-176	-150
3.7	1	-76	-150
3.7	2	24	-150
3.8	0	-174	-150
3.8	1	-74	-150
3.8	2	26	-150
3.9	0	-172	-150
3.9	1	-72	-150
3.9	2	28	-150
4	0	-170	-150
4	1	-70	-150
4	2	30	-150
4.1	0	-168	-150
4.1	1	-68	-150
4.1	2	32	-150
4.2	0	-166	-150
4.2	1	-66	-150
4.2	2	34	-150
4.3	0	-164	-150
4.3	1	-64	-150
4.3	2	36	-150
4.4	0	-162	-150
4.4	1	-62	-150
4.4	2	38	-150
4.5	0	-160	-150
4.5	1	-60	-150
4.5	2	40	-150
4.6	0	-158	-150
4.6	1	-58	-150
4.6	2	42	-150
4.7	0	-156	-150
4.7	1	-56	-150
4.7	2	44	-150
4.8	0	-154	-150
4.8	1	-54	-150
4.8	2	46	-150
4.9	0	-152	-150
4.9	1	-52	-150
4.9	2	48	-150
5	0	-150	-150
5	1	-50	-150
5	2	50	-150
5.1	0	-148	-150
5.1	1	-48	-150
5.1	2	52	-150
5.2	0	-146	-150
5.2	1	-46	-150
5.2	2	54	-150
5.3	0	-144	-150
5.3	1	-44	-150
5.3	2	56	-150
5.4	0	-142	-150
5.4	1	-42	-150
5.4	2	58	-150
5.5	0	-140	-150
5.5	1	-40	-150
5.5	2	60	-150
5.6	0	-138	-150
5.6	1	-38	-150
5.6	2	62	-150
5.7	0	-136	-150
5.7	1	-36	-150
5.7	2	64	-150
5.8	0	-134	-150
5.8	1	-34	-150
5.8	2	66	-150
5.9	0	-132	-150
5.9	1	-32	-150
5.9	2	68	-150
6	0	-130	-150
6	1	-30	-150
6	2	70	-150
6.1	0	-128	-150
6.1	1	-28	-150
6.1	2	72	-150
6.2	0	-126	-150
6.2	1	-26	-150
6.2	2	74	-150
6.3	0	-124	-150
6.3	1	-24	-150
6.3	2	76	-150
6.4	0	-122	-150
6.4	1	-22	-150
6.4	2	78	-150
6.5	0	-120	-150
6.5	1	-20	-150
6.5	2	80	-150
6.6	0	-118	-150
6.6	1	-18	-150
6.6	2	82	-150
6.7	0	-116	-150
6.7	1	-16	-150
6.7	2	84	-150
6.8	0	-114	-150
6.8	1	-14	-150
6.8	2	86	-150
6.9	0	-112	-150
6.9	1	-12	-150
6.9	2	88	-150
7	0	-110	-150
7	1	-10	-150
7	2	90	-150
7.1	0	-108	-150
7.1	1	-8	-150
7.1	2	92	-150
7.2	0	-106	-150
7.2	1	-6	-150
7.2	2	94	-150
7.3	0	-104	-150
7.3	1	-4	-150
7.3	2	96	-150
7.4	0	-102	-150
7.4	1	-2	-150
7.4	2	98	-150
7.5	0	-100	-150
7.5	1	-1.14767e-10	-150
7.5	2	100	-150
7.6	0	-98	-150
7.6	1	2	-150
7.6	2	102	-150
7.7	0	-96	-150
7.7	1	4	-150
7.7	2	104	-150
7.8	0	-94	-150
7.8	1	6	-150
7.8	2	106	-150
7.9	0	-92	-150
7.9	1	8	-150
7.9	2	108	-150
8	0	-90	-150
8	1	10	-150
8	2	110	-150
8.1	0	-88	-150
8.1	1	12	-150
8.1	2	112	-150
8.2	0	-86	-150
8.2	1	14	-150
8.2	2	114	-150
8.3	0	-84	-150
8.3	1	16	-150
8.3	2	116	-150
8.4	0	-82	-150
8.4	1	18	-150
8.4	2	118	-150
8.5	0	-80	-150
8.5	1	20	-150
8.5	2	120	-150
8.6	0	-78	-150
8.6	1	22	-150
8.6	2	122	-150
8.7	0	-76	-150
8.7	1	24	-150
8.7	2	124	-150
8.8	0	-74	-150
8.8	1	26	-150
8.8	2	126	-150
8.9	0	-72	-150
8.9	1	28	-150
8.9	2	128	-150
9	0	-70	-150
9	1	30	-150
9	2	130	-150
9.1	0	-68	-150
9.1	1	32	-150
9.1	2	132	-150
9.2	0	-66	-150
9.2	1	34	-150
9.2	2	134	-150
9.3	0	-64	-150
9.3	1	36	-150
9.3	2	136	-150
9.4	0	-62	-150
9.4	1	38	-150
9.4	2	138	-150
9.5	0	-60	-150
9.5	1	40	-150
9.5	2	140	-150
9.6	0	-58	-150
9.6	1	42	-150
9.6	2	142	-150
9.7	0	-56	-150
9.7	1	44	-150
9.7	2	144	-150
9.8	0	-54	-150
9.8	1	46	-150
9.8	2	146	-150
9.9	0	-52	-150
9.9	1	48	-150
9.9	2	148	-150
10	0	-50	-150
10	1	50	-150
10	2	150	-150
10.1	0	-48	-150
10.1	1	52	-150
10.1	2	152	-150
10.2	0	-46	-150
10.2	1	54	-150
10.2	2	154	-150
10.3	0	-44	-150
10.3	1	56	-150
10.3	2	156	-150
10.4	0	-42	-150
10.4	1	58	-150
10.4	2	158	-150
10.5	0	-40	-150
10.5	1	60	-150
10.5	2	160	-150
10.6	0	-38	-150
10.6	1	62	-150
10.6	2	162	-150
10.7	0	-36	-150
10.7	1	64	-150
10.7	2	164	-150
10.8	0	-34	-150
10.8	1	66	-150
10.8	2	166	-150
10.9	0	-32	-150
10.9	1	68	-150
10.9	2	168	-150
11	0	-30	-150
11	1	70	-150
11	2	170	-150
11.1	0	-28	-150
11.1	1	72	-150
11.1	2	172	-150
11.2	0	-26	-150
11.2	1	74	-150
11.2	2	174	-150
11.3	0	-24	-150
11.3	1	76	-150
11.3	2	176	-150
11.4	0	-22	-150
11.4	1	78	-150
11.4	2	178	-150
11.5	0	-20	-150
11.5	1	80	-150
11.5	2	180	-150
11.6	0	-18	-150
11.6	1	82	-150
11.6	2	182	-150
11.7	0	-16	-150
11.7	1	84	-150
11.7	2	184	-150
11.8	0	-14	-150
11.8	1	86	-150
11.8	2	186	-150
11.9	0	-12	-150
11.9	1	88	-150
11.9	2	188	-150
12	0	-10	-150
12	1	90	-150
12	2	190	-150
12.1	0	-8	-150
12.1	1	92	-150
12.1	2	192	-150
12.2	0	-6	-150
12.2	1	94	-150
12.2	2	194	-150
12.3	0	-4	-150
12.3	1	96	-150
12.3	2	196	-150
12.4	0	-2	-150
12.4	1	98	-150
12.4	2	198	-150
12.5	0	-8.02913e-11	-150
12.5	1	100	-150
12.5	2	200	-150
12.6	0	2	-150
12.6	1	102	-150
12.6	2	202	-150
12.7	0	4	-150
12.7	1	104	-150
12.7	2	204	-150
12.8	0	6	-150
12.8	1	106	-150
12.8	2	206	-150
12.9	0	8	-150
12.9	1	108	-150
12.9	2	208	-150
13	0	10	-150
13	1	110	-150
13	2	210	-150
13.1	0	12	-150
13.1	1	112	-150
13.1	2	212	-150
13.2	0	14	-150
13.2	1	114	-150
13.2	2	214	-150
13.3	0	16	-150
13.3	1	116	-150
13.3	2	216	-150
13.4	0	18	-150
13.4	1	118	-150
13.4	2	218	-150
13.5	0	20	-150
13.5	1	120	-150
13.5	2	220	-150
13.6	0	22	-150
13.6	1	122	-150
13.6	2	222	-150
13.7	0	24	-150
13.7	1	124	-150
13.7	2	224	-150
13.8	0	26	-150
13.8	1	126	-150
13.8	2	226	-150
13.9	0	28	-150
13.9	1	128	-150
13.9	2	228	-150
14	0	30	-150
14	1	130	-150
14	2	230	-150
14.1	0	32	-150
14.1	1	132	-150
14.1	2	232	-150
14.2	0	34	-150
14.2	1	134	-150
14.2	2	234	-150
14.3	0	36	-150
14.3	1	136	-150
14.3	2	236	-150
14.4	0	38	-150
14.4	1	138	-150
14.4	2	238	-150
14.5	0	40	-150
14.5	1	140	-150
14.5	2	240	-150
14.6	0	42	-150
14.6	1	142	-150
14.6	2	242	-150
14.7	0	44	-150
14.7	1	144	-150
14.7	2	244	-150
14.8	0	46	-150
14.8	1	146	-150
14.8	2	246	-150
14.9	0	48	-150
14.9	1	148	-150
14.9	2	248	-150
15	0	50	-150
15	1	150	-150
15	2	250	-150
15.1	0	52	-150
15.1	1	152	-150
15.1	2	252	-150
15.2	0	54	-150
15.2	1	154	-150
15.2	2	254	-150
15.3	0	56	-150
15.3	1	156	-150
15.3	2	256	-150
15.4	0	58	-150
15.4	1	158	-150
15.4	2	258	-150
15.5	0	60	-150
15.5	1	160	-150
15.5	2	260	-150
15.6	0	62	-150
15.6	1	162	-150
15.6	2	262	-150
15.7	0	64	-150
15.7	1	164	-150
15.7	2	264	-150
15.8	0	66	-150
15.8	1	166	-150
15.8	2	266	-150
15.9	0	68	-150
15.9	1	168	-150
15.9	2	268	-150
16	0	70	-150
16	1	170	-150
16	2	270	-150
16.1	0	72	-150
16.1	1	172	-150
16.1	2	272	-150
16.2	0	74	-150
16.2	1	174	-150
16.2	2	274	-150
16.3	0	76	-150
16.3	1	176	-150
16.3	2	276	-150
16.4	0	78	-150
16.4	1	178	-150
16.4	2	278	-150
16.5	0	80	-150
16.5	1	180	-150
16.5	2	280	-150
16.6	0	82	-150
16.6	1	182	-150
16.6	2	282	-150
16.7	0	84	-150
16.7	1	184	-150
16.7	2	284	-150
16.8	0	86	-150
16.8	1	186	-150
16.8	2	286	-150
16.9	0	88	-150
16.9	1	188	-150
16.9	2	288	-150
17	0	90	-150
17	1	190	-150
17	2	290	-150
17.1	0	92	-150
17.1	1	192	-150
17.1	2	292	-150
17.2	0	94	-150
17.2	1	194	-150
17.2	2	294	-150
17.3	0	96	-150
17.3	1	196	-150
17.3	2	296	-150
17.4	0	98	-150
17.4	1	198	-150
17.4	2	298	-150
17.5	0	100	-150
17.5	1	200	-150
17.5	2	300	-150
17.6	0	102	-150
17.6	1	202	-150
17.6	2	302	-150
17.7	0	104	-150
17.7	1	204	-150
17.7	2	304	-150
17.8	0	106	-150
17.8	1	206	-150
17.8	2	306	-150
17.9	0	108	-150
17.9	1	208	-150
17.9	2	308	-150
18	0	110	-150
18	1	210	-150
18	2	310	-150
18.1	0	112	-150
18.1	1	212	-150
18.1	2	312	-150
18.2	0	114	-150
18.2	1	214	-150
18.2	2	314	-150
18.3	0	116	-150
18.3	1	216	-150
18.3	2	316	-150
18.4	0	118	-150
18.4	1	218	-150
18.4	2	318	-150
18.5	0	120	-150
18.5	1	220	-150
18.5	2	320	-150
18.6	0	122	-150
18.6	1	222	-150
18.6	2	322	-150
18.7	0	124	-150
18.7	1	224	-150
18.7	2	324	-150
18.8	0	126	-150
18.8	1	226	-150
18.8	2	326	-150
18.9	0	128	-150
18.9	1	228	-150
18.9	2	328	-150
19	0	130	-150
19	1	230	-150
19	2	330	-150
19.1	0	132	-150
19.1	1	232	-150
19.1	2	332	-150
19.2	0	134	-150
19.2	1	234	-150
19.2	2	334	-150
19.3	0	136	-150
19.3	1	236	-150
19.3	2	336	-150
19.4	0	138	-150
19.4	1	238	-150
19.4	2	338	-150
19.5	0	140	-150
19.5	1	240	-150
19.5	2	340	-150
19.6	0	142	-150
19.6	1	242	-150
19.6	2	342	-150
19.7	0	144	-150
19.7	1	244	-150
19.7	2	344	-150
19.8	0	146	-150
19.8	1	246	-150
19.8	2	346	-150
19.9	0	148	-150
19.9	1	248	-150
19.9	2	348	-150
20	0	150	-150
20	1	250	-150
20	2	350	-150
20.1	0	152	-150
20.1	1	252	-150
20.1	2	352	-150
20.2	0	154	-150
20.2	1	254	-150
20.2	2	354	-150
20.3	0	156	-150
20.3	1	256	-150
20.3	2	356	-150
20.4	0	158	-150
20.4	1	258	-150
20.4	2	358	-150
20.5	0	160	-150
20.5	1	260	-150
20.5	2	360	-150
20.6	0	162	-150
20.6	1	262	-150
20.6	2	362	-150
20.7	0	164	-150
20.7	1	264	-150
20.7	2	364	-150
20.8	0	166	-150
20.8	1	266	-150
20.8	2	366	-150
20.9	0	168	-150
20.9	1	268	-150
20.9	2	368	-150
21	0	170	-150
21	1	270	-150
21	2	370	-150
21.1	0	172	-150
21.1	1	272	-150
21.1	2	372	-150
21.2	0	174	-150
21.2	1	274	-150
21.2	2	374	-150
21.3	0	176	-150
21.3	1	276	-150
21.3	2	376	-150
